y (component 1),y (component 2),y (component 3),y (component 4),y (component 5),y (component 6),y (component 7),y (component 8),y (component 9),y (component 10),y (component 11),y (component 12),y (component 13),y (component 14),y (component 15),y (component 16),y (component 17),y (component 18),y (component 19),y (component 20),y (component 21),y (component 22),y (component 23),y (component 24),y (component 25),y (component 26),y (component 27),y (component 28),y (component 29),y (component 30),y (component 31),y (component 32),y (component 33),y (component 34),y (component 35),y (component 36),y (component 37),y (component 38),y (component 39),y (component 40),x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371635792,0.341915465,0.331775289,0.415173465,0.483991895,0.506156372,0.514891362,0.517030476,0.498501712,0.469137168,0.467091295,0.466328829,0.454247628,0.439868391,0.4469654,0.457482993,0.447959852,0.396170839,0.369256847,0.367317426,0.362872704,0.375502392,0.422101994,0.503572887,0.594394666,0.737354294,0.822149482,0.885726747,0.724724613,0.428164501,0.365700987,0.021764629,0.606292374,0.273809524,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37714086,0.347031198,0.337684099,0.420320244,0.486018237,0.505848553,0.51372549,0.516081409,0.498180651,0.469690265,0.469214437,0.469031532,0.457410755,0.443612435,0.452524107,0.4638322,0.454505782,0.401877761,0.375412615,0.373553868,0.369057509,0.3815311,0.428514177,0.509595753,0.600750156,0.745695648,0.831860338,0.896412605,0.727177452,0.433238383,0.364737983,0.017594161,0.640443772,0.273809524,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37670395,0.346276417,0.337419526,0.419367137,0.484903749,0.506361584,0.514679385,0.517452283,0.499143836,0.470353982,0.468543971,0.468130631,0.456507004,0.442477876,0.449801475,0.459750567,0.449923631,0.398840206,0.37130877,0.368130875,0.364257362,0.37722488,0.422502755,0.50244998,0.609606168,0.740883328,0.815384615,0.889761204,0.726062525,0.430122841,0.363694728,0.021894956,0.627920659,0.273809524,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36123733,0.331264676,0.324719993,0.40240183,0.462208713,0.484301252,0.494647589,0.499525467,0.483732877,0.456084071,0.45379372,0.45259009,0.441708089,0.427955525,0.434146341,0.441269841,0.431922322,0.383192194,0.356053172,0.353579176,0.350687713,0.364019139,0.408476105,0.485300122,0.588455928,0.71425516,0.786579378,0.860865773,0.714690273,0.427808439,0.366182489,0.021764629,0.601361573,0.273809524,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359227543,0.329922845,0.322250639,0.39973313,0.459878419,0.482351734,0.492209857,0.497205526,0.481057363,0.452986726,0.450217901,0.448873874,0.437641211,0.424098026,0.429381736,0.435714286,0.426249182,0.378037555,0.350878758,0.348517715,0.345610634,0.358851675,0.402865444,0.479685586,0.582829756,0.709656721,0.783087834,0.860865773,0.711902957,0.426295175,0.364577482,0.025022807,0.60447134,0.273809524,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064575323,0.051828246,0.052385572,0.078631338,0.069604863,0.079109378,0.093163752,0.121691448,0.131528253,0.122234513,0.129176444,0.132432432,0.133303208,0.129339687,0.123425978,0.118027211,0.113571896,0.10640648,0.082701401,0.082158351,0.086033416,0.100478469,0.128444044,0.16445488,0.198374661,0.244786654,0.273322422,0.310216988,0.391696026,0.410094356,0.453173903,0.121464877,0.308371155,0.357142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062478154,0.049731634,0.05000441,0.076057949,0.066869301,0.07582598,0.089030207,0.117051566,0.126391267,0.116371681,0.122583529,0.12545045,0.125960235,0.121057409,0.116052184,0.110997732,0.106916867,0.101067747,0.077526987,0.077187274,0.080956337,0.094545455,0.121230338,0.155982033,0.189206085,0.234199551,0.262629569,0.298767855,0.381773179,0.410094356,0.448278629,0.114166558,0.31237743,0.357142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.025865082,0.016018115,0.015080695,0.036599314,0.021276596,0.023291607,0.02554319,0.045449752,0.046982021,0.028318584,0.028830037,0.028378378,0.027225486,0.024052644,0.023369257,0.022902494,0.025965525,0.036358616,0.017575163,0.017986262,0.019385212,0.023349282,0.032561868,0.047468354,0.065013544,0.108972302,0.154500818,0.230182096,0.204722829,0.444543351,0.369793757,0.003258178,0.73656637,0.357142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.019660958,0.010231466,0.008995502,0.029641632,0.013475177,0.01457008,0.015474298,0.034166403,0.034246575,0.013938053,0.012962342,0.011486486,0.009489381,0.006013161,0.005331821,0.004988662,0.008727907,0.021907216,0.003568561,0.003615329,0.004061663,0.005933014,0.011221321,0.021233156,0.032819337,0.065447546,0.101254774,0.165085596,0.15076038,0.440181592,0.334965091,0.06021113,0.731635569,0.357142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.022544565,0.013418316,0.01252315,0.033835303,0.018237082,0.020008208,0.02172761,0.041653485,0.04302226,0.024225664,0.024360264,0.023648649,0.022254858,0.018493306,0.017697107,0.01723356,0.020510583,0.031756259,0.012936034,0.013195951,0.014308133,0.017607656,0.026149684,0.040220498,0.061783705,0.103197519,0.142389525,0.2157889,0.189448334,0.440893716,0.364497231,0.012772058,0.703843783,0.357142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
